"Stockid","Invoiceid","Description","Quantity","InvoiceDate","Price","CustomerID","Country","productid","customername","SpendingScore","AnnualIncomek","gender","age","customertype","productname","Category","SubCategory","Sales","name","rating","location","noofemployees"
536365,"85123A","WHITEHANGINGHEARTT-LIGHTHOLDER",6,1212010826,255,17850,"UnitedKingdom",1,"DAVID",96,1400,"Male",32,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"NeimanMarcus",4,"UnitedKingdom",4000
536365,"71053","WHITEMETALLANTERN",6,1212010826,339,17850,"UnitedKingdom",1,"DAVID",96,1400,"Male",32,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"NeimanMarcus",4,"UnitedKingdom",4000
536365,"84406B","CREAMCUPIDHEARTSCOATHANGER",8,1212010826,275,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NeimanMarcus",4,"UnitedKingdom",4000
536365,"84029G","KNITTEDUNIONFLAGHOTWATERBOTTLE",6,1212010826,339,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NeimanMarcus",4,"UnitedKingdom",4000
536365,"84029E","REDWOOLLYHOTTIEWHITEHEART",6,1212010826,339,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NeimanMarcus",4,"UnitedKingdom",4000
536365,"22752","SET7BABUSHKANESTINGBOXES",2,1212010826,765,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NeimanMarcus",4,"UnitedKingdom",4000
536365,"21730","GLASSSTARFROSTEDT-LIGHTHOLDER",6,1212010826,425,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NeimanMarcus",4,"UnitedKingdom",4000
536366,"22633","HANDWARMERUNIONJACK",6,1212010828,185,17850,"UnitedKingdom",1,"DAVID",96,1400,"Male",32,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"BergdorfGoodman",3,"UnitedKingdom",3200
536366,"22632","HANDWARMERREDPOLKADOT",6,1212010828,185,17850,"UnitedKingdom",3,"DAVID",96,1400,"Male",32,"citizen","Newell22","OfficeSupplies","Art",193,"BergdorfGoodman",3,"UnitedKingdom",3200
536367,"84879","ASSORTEDCOLOURBIRDORNAMENT",32,1212010834,169,13047,"UnitedKingdom",1,"ALEX",66,1900,"Male",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"NordstromRack",4,"UnitedKingdom",5000
536367,"22745","POPPY'SPLAYHOUSEBEDROOM",6,1212010834,21,13047,"UnitedKingdom",1,"ALEX",66,1900,"Male",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"NordstromRack",4,"UnitedKingdom",5000
536367,"21777","RECIPEBOXWITHMETALHEART",4,1212010834,795,13047,"UnitedKingdom",1,"ALEX",66,1900,"Male",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"NordstromRack",4,"UnitedKingdom",5000
536367,"22748","POPPY'SPLAYHOUSEKITCHEN",6,1212010834,21,13047,"UnitedKingdom",2,"ALEX",66,1900,"Male",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NordstromRack",4,"UnitedKingdom",5000
536367,"22749","FELTCRAFTPRINCESSCHARLOTTEDOLL",8,1212010834,375,13047,"UnitedKingdom",2,"ALEX",66,1900,"Male",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NordstromRack",4,"UnitedKingdom",5000
536367,"22310","IVORYKNITTEDMUGCOSY",6,1212010834,165,13047,"UnitedKingdom",2,"ALEX",66,1900,"Male",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NordstromRack",4,"UnitedKingdom",5000
536367,"84969","BOXOF6ASSORTEDCOLOURTEASPOONS",6,1212010834,425,13047,"UnitedKingdom",2,"ALEX",66,1900,"Male",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NordstromRack",4,"UnitedKingdom",5000
536367,"22623","BOXOFVINTAGEJIGSAWBLOCKS",3,1212010834,495,13047,"UnitedKingdom",2,"ALEX",66,1900,"Male",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NordstromRack",4,"UnitedKingdom",5000
536367,"48187","DOORMATNEWENGLAND",4,1212010834,795,13047,"UnitedKingdom",2,"ALEX",66,1900,"Male",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"NordstromRack",4,"UnitedKingdom",5000
536367,"22622","BOXOFVINTAGEALPHABETBLOCKS",2,1212010834,995,13047,"UnitedKingdom",3,"ALEX",66,1900,"Male",22,"citizen","Newell22","OfficeSupplies","Art",193,"NordstromRack",4,"UnitedKingdom",5000
536367,"21754","HOMEBUILDINGBLOCKWORD",3,1212010834,595,13047,"UnitedKingdom",3,"ALEX",66,1900,"Male",22,"citizen","Newell22","OfficeSupplies","Art",193,"NordstromRack",4,"UnitedKingdom",5000
536367,"21755","LOVEBUILDINGBLOCKWORD",3,1212010834,595,13047,"UnitedKingdom",3,"ALEX",66,1900,"Male",22,"citizen","Newell22","OfficeSupplies","Art",193,"NordstromRack",4,"UnitedKingdom",5000
536368,"22912","YELLOWCOATRACKPARISFASHION",3,1212010834,495,13047,"UnitedKingdom",1,"ALEX",66,1900,"Male",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"Nordstrom",4,"UnitedKingdom",1000
536368,"22914","BLUECOATRACKPARISFASHION",3,1212010834,495,13047,"UnitedKingdom",1,"ALEX",66,1900,"Male",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"Nordstrom",4,"UnitedKingdom",1000
536368,"22960","JAMMAKINGSETWITHJARS",6,1212010834,425,13047,"UnitedKingdom",3,"ALEX",66,1900,"Male",22,"citizen","Newell22","OfficeSupplies","Art",193,"Nordstrom",4,"UnitedKingdom",1000
536368,"22913","REDCOATRACKPARISFASHION",3,1212010834,495,13047,"UnitedKingdom",3,"ALEX",66,1900,"Male",22,"citizen","Newell22","OfficeSupplies","Art",193,"Nordstrom",4,"UnitedKingdom",1000
536369,"21756","BATHBUILDINGBLOCKWORD",3,1212010835,595,13047,"UnitedKingdom",1,"ALEX",66,1900,"Male",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"HudsonBayCompany",4,"UnitedKingdom",6000
536370,"22728","ALARMCLOCKBAKELIKEPINK",24,1212010845,375,12583,"France",1,"RUBIAN",32,1200,"Female",22,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"SaksFifthAvenue",4,"France",4000
536370,"22727","ALARMCLOCKBAKELIKERED",24,1212010845,375,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"22726","ALARMCLOCKBAKELIKEGREEN",12,1212010845,375,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"21724","PANDAANDBUNNIESSTICKERSHEET",12,1212010845,85,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"21883","STARSGIFTTAPE",24,1212010845,65,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"10002","INFLATABLEPOLITICALGLOBE",48,1212010845,85,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"21791","VINTAGEHEADSANDTAILSCARDGAME",24,1212010845,125,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"21035","SET2REDRETROSPOTTEATOWELS",18,1212010845,295,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"22326","ROUNDSNACKBOXESSETOF4WOODLAND",24,1212010845,295,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"22629","SPACEBOYLUNCHBOX",24,1212010845,195,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"22659","LUNCHBOXILOVELONDON",24,1212010845,195,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"22631","CIRCUSPARADELUNCHBOX",24,1212010845,195,12583,"France",2,"RUBIAN",32,1200,"Female",22,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"SaksFifthAvenue",4,"France",4000
536370,"22661","CHARLOTTEBAGDOLLYGIRLDESIGN",20,1212010845,85,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"21731","REDTOADSTOOLLEDNIGHTLIGHT",24,1212010845,165,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"22900","SET2TEATOWELSILOVELONDON",24,1212010845,295,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"21913","VINTAGESEASIDEJIGSAWPUZZLES",12,1212010845,375,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"22540","MINIJIGSAWCIRCUSPARADE",24,1212010845,42,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"22544","MINIJIGSAWSPACEBOY",24,1212010845,42,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"22492","MINIPAINTSETVINTAGE",36,1212010845,65,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536370,"POST","POSTAGE",3,1212010845,18,12583,"France",3,"RUBIAN",32,1200,"Female",22,"citizen","Newell22","OfficeSupplies","Art",193,"SaksFifthAvenue",4,"France",4000
536371,"22086","PAPERCHAINKIT50'SCHRISTMAS",80,1212010900,255,13748,"UnitedKingdom",3,"NANCY",37,1200,"Female",33,"citizen","Newell22","OfficeSupplies","Art",193,"SaksOff5th",4,"UnitedKingdom",2000
536372,"22632","HANDWARMERREDPOLKADOT",6,1212010901,185,17850,"UnitedKingdom",3,"DAVID",96,1400,"Male",32,"citizen","Newell22","OfficeSupplies","Art",193,"Bloomingdales",3,"UnitedKingdom",2300
536372,"22633","HANDWARMERUNIONJACK",6,1212010901,185,17850,"UnitedKingdom",3,"DAVID",96,1400,"Male",32,"citizen","Newell22","OfficeSupplies","Art",193,"Bloomingdales",3,"UnitedKingdom",2300
536373,"84406B","CREAMCUPIDHEARTSCOATHANGER",8,1212010902,275,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"20679","EDWARDIANPARASOLRED",6,1212010902,495,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"37370","RETROCOFFEEMUGSASSORTED",6,1212010902,106,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"21871","SAVETHEPLANETMUG",6,1212010902,106,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"21071","VINTAGEBILLBOARDDRINKMEMUG",6,1212010902,106,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"21068","VINTAGEBILLBOARDLOVEHATEMUG",6,1212010902,106,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"82483","WOOD2DRAWERCABINETWHITEFINISH",2,1212010902,495,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"82486","WOODS3CABINETANTWHITEFINISH",4,1212010902,695,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"82482","WOODENPICTUREFRAMEWHITEFINISH",6,1212010902,21,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"82494L","WOODENFRAMEANTIQUEWHITE",6,1212010902,255,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"84029G","KNITTEDUNIONFLAGHOTWATERBOTTLE",6,1212010902,339,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"84029E","REDWOOLLYHOTTIEWHITEHEART",6,1212010902,339,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"22752","SET7BABUSHKANESTINGBOXES",2,1212010902,765,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"21730","GLASSSTARFROSTEDT-LIGHTHOLDER",6,1212010902,425,17850,"UnitedKingdom",2,"DAVID",96,1400,"Male",32,"citizen","CiscoSPA501GIPPhone","Technology","Phones",6196,"BeallsInc",5,"UnitedKingdom",6000
536373,"85123A","WHITEHANGINGHEARTT-LIGHTHOLDER",6,1212010902,255,17850,"UnitedKingdom",3,"DAVID",96,1400,"Male",32,"citizen","Newell22","OfficeSupplies","Art",193,"BeallsInc",5,"UnitedKingdom",6000
536373,"71053","WHITEMETALLANTERN",6,1212010902,339,17850,"UnitedKingdom",3,"DAVID",96,1400,"Male",32,"citizen","Newell22","OfficeSupplies","Art",193,"BeallsInc",5,"UnitedKingdom",6000
536375,"37370","RETROCOFFEEMUGSASSORTED",6,1212010932,106,17850,"UnitedKingdom",1,"DAVID",96,1400,"Male",32,"citizen","BushSomersetCollectionBookcase","Furniture","Bookcases",26196,"LaVogueDepartmentStore",5,"UnitedKingdom",7000
